name,author,publisher,listprice,price,page,isbn10
원큐패스 간호조무사 최종 마무리 실전모의고사 10회,백지운,다락원,18000,16200,280,8927770137
임상 적용을 위한 미술치료기법,김인선,학지사,20000,20000,304,8999715353
화폐와 금융시장,정운찬,율곡출판사,40000,40000,918,1187897302
기본간호학 1,양선희,현문사(유해영),38000,38000,420,1159896763
어린 자폐증 아동을 위한 ESDM ,Sally J. Rogers,학지사,23000,22310,456,8999714780
정보처리 영역,전영미,학지사,14000,14000,136,8999714357
영아 교사 상호작용의 실제,박근주,공동체,14000,14000,,1161051996
청소년을 위한 DBT® 다이어렉티컬 행동치료,질 라수스,더트리그룹,32000,28800,486,8996783943
젊은이를 위한 인간관계의 심리학 ,권석만,학지사,20000,19400,557,8999713067
6주 보육실습,박찬옥,양성원,15000,15000,257,1161260412
허리 치료와 역학 ,Stuart McGill,영문출판사,25000,25000,168,8972244147
학교폭력 예방 및 학생의 이해,황혜경,양서원(박철용),19000,19000,341,8999406792
고급영양학,변기원,교문사,29000,29000,464,8936316249
노인간호학,박명화,학지사메디컬,35000,33950,,9788960695948
면역의 배신,수잔블룸,범문에듀케이션,28000,28000,380,1159430659
사회심리학의 이해,한규석,학지사,27000,26190,,9788999711602
상담의 실제,이규미,학지사,17000,17000,,9788999711336
사회복지실천의 이해,엄명용,학지사,22000,22000,,9788999709890
상담 수퍼비전의 이론과 실제,방기연,양서원(박철용),17000,17000,301,8999405826
캠벨 생명과학 요점과 문제풀이,전상학,바이오사이언스,25000,25000,405,896824054X
거시경제학,N. Gregory Mankiw,시그마프레스,39000,39000,,9788968667640
홍창의 소아과학,안효섭,미래엔,110000,104500,"1,550",893783068X
서울대 한국어 3A Student's Book with MP3 CD,서울대학교 언어교육원,TWOPONDS(투판즈),22000,20900,284,895393432X
최신 문헌정보학의 이해 ,한국문헌정보학회,한국도서관협회,30000,30000,449,8976781651
소비자행동,이학식,집현재,33000,33000,,9788997304455
교정운동학,Micheal A. Clark ,한미의학,45000,45000,422,8994993711
학습이론의 이해와 적용,정순례,학지사,17000,17000,,9788999701849
ABA 프로그램,Ron Leaf,학지사,25000,25000,443,8999701115
가정에서 할 수 있는 언어재활 프로젝트,분당서울대학교병원 재활의학과,군자출판사,25000,25000,212,8962787067
새로운 약은 어떻게 창조되나,교토대학대학원약학연구과,서울대학교출판문화원,15000,15000,332,8952113020
대학음악이론,백병동,현대음악출판사(현대교육미디어),16000,14400,389,8948311018
상담면접의 기초,김환,학지사,16000,16000,374,8958912472
처음 만나는 문화인류학,한국문화인류학회,일조각,12000,12000,301,893370437X
어떻게 문제를 풀 것인가,G. 폴리아,교우사(오판근),25000,25000,338,8981723427
이중나선,J.D.왓슨 / 하두봉 역,전파과학사,9000,8100,215,8970445439
국화와 칼,루스 베네딕트,연암서가,15000,14250,456,1160870527
여행상품상담실무,한국여행서비스교육협회,한올출판사,19800,19800,338,1156857872
2019 건축물 내진설계기준 및 해설,대한건축학회,기문당,60000,54000,212,8962258226
프로파일링 이론과 실제,권일용,(주)박영사,18000,18000,290,1130306291
2019 간호조무사 국가시험문제집,은하출판사 편집국,은하출판사,36000,32400,569,8931681275
대상관계 심리치료 실제,Allan G. Frankland,학지사,16000,15520,,9788999717673
NCS 병원 안내 기반 병원 코디네이터,대한병원코디네이터협회,계축문화사,30000,30000,,8956295484
민법강의,김준호,법문사,72000,72000,,9788918091556
2019 화재안전기준,이기덕,기문사,15000,14250,364,8977238072
맥머리의 유기화학강의,John McMurry,사이플러스,37000,37000,480,8962184397
15분의 기적,캐시 험프리,경문사,14000,14000,240,1160731713
사회복지행정론,오세영,신정,20000,20000,,895912463X
제제학,약제학분과회,신일서적,45000,45000,,9791188847099
거시경제론,정운찬,율곡출판사,39000,39000,675,1187897310
유아음악교육,장은주,양서원(박철용),19000,19000,,8999407934
원가관리회계,백태영,신영사,35000,35000,,8955016263
집단상담 이론과 실제,천성문,학지사,22000,21340,516,8999713512
보육실습실무,강영식,어가,18000,18000,,1187971197
고급 영문법해설,문용,(주)박영사,24000,23280,613,1130303845
기초부터 시작하는 PLC : 멜섹Q,정완보,한빛아카데미,23000,23000,484,1156643201
특수교육공학,김남진,학지사,20000,20000,480,8999711854
현대인간공학,정병용,민영사,26000,26000,494,1186378085
진보와 빈곤,헨리 조지,비봉출판사(BBbooks),25000,22500,,9788937604478
2015 한국표준질병 사인분류,통계청,통계청,27000,27000,"1,194",899729220X
독서교육론,이순영,사회평론아카데미,25000,25000,544,1185617558
Nichols의 가족치료 이론과 실제,Michael P. Nichols,시그마프레스,28000,28000,,9788968665035
강박증 극복하기 ,Jonathan S. Abramowitz,학지사,22000,22000,,9788999707254
부모상담 실제,박근주,양서원(박철용),17000,17000,294,899940417X
게슈탈트 심리치료,김정규,학지사,22000,21340,,9788999706295
똑똑한 인지행동치료  ,Stephen Briers,시그마프레스,15000,15000,296,8968662096
1001가지 해결중심 질문들,Fredrike Bannink,학지사,19000,18430,,9788999705328
근육해부학 ,Hida Takehiko,신흥메드싸이언스,28000,25200,228,8964980441
근육뼈대계의 기능과 운동해부학 ,Kawashima Toshio,신흥메드싸이언스,28000,26600,232,8964980468
유아교육기관에서의 부모 교육과 지원,김희진,파란마음,22000,22000,446,8997982257
서울대 한국어 2A Student's Book with CD-ROM,서울대학교 언어교육원,TWOPONDS(투판즈),22000,22000,272,8953934303
초보자를 위한 학위논문 작성법,김혜숙,학지사,12000,12000,183,8999701484
범죄의 해부학,마이클 스톤,다산초당,30000,27000,644,8963704122
스피치 커뮤니케이션,임태섭,커뮤니케이션북스,20000,20000,504,8964060989
미술치료학,주리애,학지사,22000,22000,447,8963303780
진정한 사람되기,칼 로저스,학지사,19000,19000,471,8963300684
기초정수론,David M. Burton,McGraw-Hill KOREA(경문사),30000,30000,,8960550191
상담심리학의 기초,이장호,학지사,18000,17460,415,8958911689
정신분석적 사례이해,Nancy McWiliams,학지사,17000,16490,365,8958911476
치료의 선물,IRVIN D.YALOM,시그마프레스,15000,15000,384,895832113X
대화의 기술,폴렛 데일,푸른숲,12000,10800,298,8971843640
콘코네 50번,편집부,세광음악출판사,6000,5400,,8903511212
한권으로 읽는 동의보감,신동원,들녘,35000,31500,"1,087",897527120X
가족치료이론,김용태,학지사,23000,23000,,9788999718410
놀이치료,Garry L. Landreth,학지사,20000,19400,,9788999705984
개별화수업 1 - 실천편,캐롤 앤 톰린슨,한국뇌기반교육연구소,18000,16200,332,1196744602
IFRS 중급회계 2,김기동,sam&books(샘앤북스),32000,32000,696,1156262038
대인관계 심리학,김원경,피앤씨미디어,25000,25000,,9791157306978
민사소송법 사례연습 1,문영화,성균관대학교출판부(SKKUP),18000,18000,296,1155503376
초등수학 교재 연구와 지도 ,유현주,동명사,20000,20000,263,8941182069
현대기초통계학 이해와 적용,성태제,학지사,25000,24250,598,8999719243
컴퓨터구조론,김종현,생능출판사,28000,28000,,9788970509693
상법강의,송옥렬,홍문사,65000,65000,"1,339",8977704227
미드 센추리 모던,프랜시스 앰블러,컴인,16800,15120,,9791189510022
최신 교육학개론,성태제,학지사,20000,19400,,9788999715747
영유아 수학교육,김현주,동문사,21000,21000,,1163280186
영유아 교과교재 연구 및 지도법,나은숙,양서원(박철용),18000,18000,,8999408124
지체장애 학생 교육 ,박은혜,학지사,23000,22310,560,8999715523
노태호의 알기쉬운 심전도 5,노태호,도서출판 우노,20000,20000,136,1195727615
최신 송배전공학,송길영,동일출판사,29000,28130,604,8938111245
미생물과 감염관리,조정제,정문각,33000,33000,,
사회복지 프로그램 개발과 평가,조성우,학지사,20000,19400,416,8999712397
파워 운동생리학,최대혁,라이프사이언스,38000,38000,576,8961542826
의사소통능력,민혜영,지식공동체,10000,10000,,1196272832
표준 기계설계 도표편람 ,노수황,대광서림,50000,45000,"1,456",8938451763
국제전시기획론,한국전시주최자협회,한올출판사,29800,29800,541,1156856086
실기교사를 위한 교육학개론,이 영,BOOKK(부크크),13000,13000,216,1127203843
경제수학 강의,김성현,교보문고,20000,20000,414,1159090343
경제학 들어가기,이준구,문우사,33000,32010,,9791185994345
2015 한국표준질병 사인분류 3권 색인,통계청,통계청,28000,28000,"1,407",8997292080
시스템 분석과 설계,허원실,한빛아카데미,25000,25000,408,115664206X
아동 심리치료 치료계획서,Arthur E. Jongsma,시그마프레스,23000,23000,,9788968665325
만화로 배우는 사회성 쑥쑥 화용언어치료 세트,최소영,이담북스(이담Books),30000,27000,74,8926868273
디지털시대의 장서관리,송영희,한국도서관협회,25000,25000,437,8976782607
반도체 전공정장비 2,김용태,복두출판사,17000,17000,275,8980007000
아동영양학,문혁준,창지사,19000,19000,326,8942606644
내과 주치의 필수노트,안상현,대한의학서적,30000,28500,243,8994467068
동화 쓰기 특강,임정진,지식의날개(방송대출판문화원),5900,5310,163,8920928304
대항해시대,주경철,서울대학교출판부,23000,23000,581,8952108671
시스템학습법의완성,임성룡,교우사(오판근),22000,22000,314,8981727139
새 의류소재,김성련,교문사,17000,17000,212,8936307622
맹자집주,성백효,전통문화연구회,30000,30000,,899172051X
장자철학,리우샤오간,소나무,25000,22500,698,8971393084
알기 쉬운 통계분석,성태제,학지사,20000,19400,,9788999718656
특수교사 수업을 세우다,김준연,교육과학사,12000,12000,204,8925413981
인간성장 발달의 이해,박충선,퍼시픽북스,28000,28000,328,1163750735
초등수학 교수법,강홍재,동명사,23000,23000,360,8941181933
"이미지로 키우는 사고력, VTS",필립 예나윈,미술문화,18000,18000,240,1185954511
임상약동학,강원구,신일서적,50000,50000,406,118884721X
최신 수술실 매뉴얼,윤혜상,포널스출판사,40000,40000,440,1157468829
상담사례 이해와 슈퍼비전,천성문,학지사,18000,17460,314,8999717933
2020 간호사국가시험 핵심 문제집 기본간호학,한국간호과학회,한국간호과학회,20000,20000,,8993593469
